target,category,shape,kernel,family,config,tile_m,tile_n,tile_k,threads_x,threads_y,average_ms,median_ms,min_ms,max_ms,stability_ratio,stable,tuning_score_ms,average_gflops,median_gflops
medium_rect,medium_rect,192x320x96,tiled,scalar,m64n16k8_t16x64,64,16,8,16,64,0.356038,0.350834,0.333500,0.388083,1.106174,true,0.350834,33.132680,33.624155
medium_rect,medium_rect,192x320x96,tiled,scalar,m16n16k4_t16x16,16,16,4,16,16,0.421575,0.420938,0.397333,0.451375,1.072309,true,0.420938,27.981932,28.024303
medium_rect,medium_rect,192x320x96,tiled,scalar,m32n8k4_t8x32,32,8,4,8,32,0.481904,0.430854,0.415875,0.906291,2.103476,false,0.906291,24.478895,27.379298
medium_rect,medium_rect,192x320x96,tiled,simdgroup,sg_m16n16k8_t32x4,16,16,8,32,4,0.354133,0.323480,0.306583,0.638500,1.973850,false,0.638500,33.310856,36.467473
medium_rect,medium_rect,192x320x96,tiled,simdgroup,sg_m16n16k8_t16x8,16,16,8,16,8,0.305950,0.307396,0.285959,0.315250,1.025550,true,0.307396,38.556901,38.375516
medium_rect,medium_rect,192x320x96,tiled,simdgroup,sg_m16n16k8_t8x16,16,16,8,8,16,0.315187,0.310666,0.290000,0.374333,1.204935,true,0.310666,37.426865,37.971523
medium_rect,medium_rect,192x320x96,mps,,,,,,,,0.336467,0.263896,0.249042,0.845625,3.204393,false,,35.059874,44.701331
edge_square,edge_heavy,130x130x130,naive,,,,,,,,0.353183,0.351729,0.320750,0.427750,1.216135,true,,12.441128,12.492572
edge_square,edge_heavy,130x130x130,tiled,scalar,m8n8k8_t8x8,8,8,8,8,8,2.431433,0.335896,0.279042,20.943916,62.352383,false,20.943916,1.807164,13.081430
edge_square,edge_heavy,130x130x130,tiled,scalar,m8n16k8_t16x8,8,16,8,16,8,0.273496,0.274437,0.266542,0.282500,1.029380,true,0.274437,16.066054,16.010961
edge_square,edge_heavy,130x130x130,tiled,scalar,m16n8k8_t8x16,16,8,8,8,16,0.296750,0.289980,0.265333,0.385917,1.330842,true,0.289980,14.807072,15.152795
edge_square,edge_heavy,130x130x130,tiled,scalar,m16n16k8_t16x16,16,16,8,16,16,0.684858,0.428250,0.304541,2.896708,6.764058,false,2.896708,6.415927,10.260362
edge_square,edge_heavy,130x130x130,tiled,scalar,m16n16k16_t16x16,16,16,16,16,16,0.323887,0.305000,0.293000,0.414250,1.358197,true,0.305000,13.566439,14.406557
edge_square,edge_heavy,130x130x130,tiled,scalar,m8n32k8_t32x8,8,32,8,32,8,0.303925,0.300521,0.283292,0.323750,1.077296,true,0.300521,14.457514,14.621274
