target,category,shape,kernel,family,config,tile_m,tile_n,tile_k,threads_x,threads_y,average_ms,median_ms,min_ms,max_ms,stability_ratio,stable,tuning_score_ms,average_gflops,median_gflops
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,simdgroup,sg_m16n16k8_t8x16,16,16,8,8,16,0.550817,0.322167,0.301625,2.524833,7.837044,false,2.524833,21.416340,36.616098
fused_medium_rect,fused_rect,192x320x96,mps_bias_relu,,,,,,,,0.210808,0.208583,0.195834,0.237458,1.138434,true,,55.958355,56.555328
fused_edge_rect,fused_irregular,255x257x129,naive_matmul,,,,,,,,0.535642,0.527562,0.501625,0.608875,1.154129,true,,31.565939,32.049340
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m8n8k8_t8x8,8,8,8,8,8,0.343254,0.346292,0.330458,0.359792,1.038984,true,0.346292,49.258057,48.825933
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m8n16k8_t16x8,8,16,8,16,8,0.346962,0.349729,0.332667,0.361000,1.032228,true,0.349729,48.731592,48.346091
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m16n8k8_t8x16,16,8,8,8,16,0.344646,0.341125,0.320916,0.384125,1.126053,true,0.341125,49.059164,49.565497
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m16n16k8_t16x16,16,16,8,16,16,0.345021,0.346583,0.329292,0.357375,1.031137,true,0.346583,49.005814,48.784867
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m16n16k16_t16x16,16,16,16,16,16,0.384971,0.368437,0.357500,0.510542,1.385695,true,0.368437,43.920269,45.891176
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m8n32k8_t32x8,8,32,8,32,8,0.364400,0.367270,0.343125,0.397792,1.083104,true,0.367270,46.399656,46.036995
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m32n8k8_t8x32,32,8,8,8,32,0.348221,0.345270,0.325292,0.380042,1.100708,true,0.345270,48.555472,48.970387
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m16n32k8_t32x16,16,32,8,32,16,0.640738,0.372208,0.351125,1.779375,4.780587,false,1.779375,26.388384,45.426233
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m32n16k8_t16x32,32,16,8,16,32,0.347050,0.349834,0.330917,0.357708,1.022508,true,0.349834,48.719291,48.331580
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m32n32k8_t32x32,32,32,8,32,32,0.412842,0.405292,0.379166,0.474833,1.171584,true,0.405292,40.955248,41.718195
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m8n64k8_t64x8,8,64,8,64,8,0.399317,0.391500,0.364042,0.455916,1.164536,true,0.391500,42.342417,43.187816
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m64n8k8_t8x64,64,8,8,8,64,1.586379,0.589001,0.358417,5.801084,9.849031,false,5.801084,10.658252,28.706308
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m16n64k8_t64x16,16,64,8,64,16,0.631204,0.414895,0.319708,2.627375,6.332619,false,2.627375,26.786950,40.752503
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m64n16k8_t16x64,64,16,8,16,64,0.479200,0.370916,0.348875,1.157541,3.120759,false,1.157541,35.283869,45.584464
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m16n16k4_t16x16,16,16,4,16,16,0.481675,0.444979,0.408625,0.672833,1.512056,false,0.672833,35.102562,37.997366
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,scalar,m32n8k4_t8x32,32,8,4,8,32,0.415675,0.417333,0.401833,0.423875,1.015676,true,0.417333,40.676101,40.514481
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,simdgroup,sg_m16n16k8_t32x4,16,16,8,32,4,0.258800,0.258208,0.242625,0.291583,1.129254,true,0.258208,65.332419,65.482081
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,simdgroup,sg_m16n16k8_t16x8,16,16,8,16,8,0.255075,0.256562,0.236084,0.268917,1.048156,true,0.256562,66.286478,65.902316
fused_edge_rect,fused_irregular,255x257x129,composed_bias_relu,simdgroup,sg_m16n16k8_t8x16,16,16,8,8,16,0.262492,0.262062,0.256000,0.270292,1.031405,true,0.262062,64.413580,64.519198
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m8n8k8_t8x8,8,8,8,8,8,0.443891,0.440083,0.420333,0.506041,1.149876,true,0.440083,38.090465,38.420093
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m8n16k8_t16x8,8,16,8,16,8,0.455113,0.456896,0.425167,0.492959,1.078930,true,0.456896,37.151312,37.006299
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m16n8k8_t8x16,16,8,8,8,16,0.726734,0.432542,0.413417,2.418375,5.591076,false,2.418375,23.265791,39.089915
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m16n16k8_t16x16,16,16,8,16,16,0.435367,0.432896,0.419584,0.460875,1.064632,true,0.432896,38.836296,39.057949
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m16n16k16_t16x16,16,16,16,16,16,0.480083,0.464813,0.427625,0.569125,1.224418,true,0.464813,35.218943,36.376023
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m8n32k8_t32x8,8,32,8,32,8,0.468588,0.447750,0.435375,0.552833,1.234690,true,0.447750,36.082965,37.762169
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m32n8k8_t8x32,32,8,8,8,32,0.437196,0.437312,0.419125,0.458042,1.047402,true,0.437312,38.673807,38.663496
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m16n32k8_t32x16,16,32,8,32,16,0.463162,0.464042,0.447500,0.478042,1.030170,true,0.464042,36.505611,36.436422
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m32n16k8_t16x32,32,16,8,16,32,0.447346,0.446458,0.435416,0.460166,1.030703,true,0.446458,37.796331,37.871448
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m32n32k8_t32x32,32,32,8,32,32,0.839258,0.511146,0.477083,3.272792,6.402852,false,3.272792,20.146394,33.078670
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m8n64k8_t64x8,8,64,8,64,8,0.483529,0.480167,0.468333,0.501417,1.044257,true,0.480167,34.967968,35.212848
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m64n8k8_t8x64,64,8,8,8,64,0.455313,0.452500,0.431000,0.477333,1.054880,true,0.452500,37.135001,37.365812
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m16n64k8_t64x16,16,64,8,64,16,0.821879,0.489542,0.472667,3.625000,7.404880,false,3.625000,20.572403,34.538467
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m64n16k8_t16x64,64,16,8,16,64,0.446363,0.439750,0.434375,0.469667,1.068032,true,0.439750,37.879585,38.449187
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m16n16k4_t16x16,16,16,4,16,16,0.563108,0.553583,0.498041,0.643458,1.162351,true,0.553583,30.026254,30.542900
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,scalar,m32n8k4_t8x32,32,8,4,8,32,0.554575,0.506813,0.492000,0.977583,1.928883,false,0.977583,30.488260,33.361477
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,simdgroup,sg_m16n16k8_t32x4,16,16,8,32,4,5.443600,4.043959,0.351417,14.404209,3.561908,false,14.404209,3.106038,4.181059
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,simdgroup,sg_m16n16k8_t16x8,16,16,8,16,8,0.937654,0.562125,0.351458,3.242208,5.767771,false,3.242208,18.032268,30.078773
fused_edge_rect,fused_irregular,255x257x129,fused_bias_relu,simdgroup,sg_m16n16k8_t8x16,16,16,8,8,16,0.449575,0.420438,0.353292,0.681166,1.620136,false,0.681166,37.608911,40.215323
fused_edge_rect,fused_irregular,255x257x129,mps_bias_relu,,,,,,,,0.267025,0.264708,0.253208,0.285416,1.078230,true,,63.320074,63.874269
